"code","name","short_name"
"01","Республика Адыгея","Адыгея"
"02","Республика Башкортостан","Башкортостан"
"03","Республика Бурятия","Бурятия"
"04","Республика Алтай","Алтай"
"05","Республика Дагестан","Дагестан"
"06","Республика Ингушетия","Ингушетия"
"07","Кабардино-Балкарская республика","Кабардино-Балкарская"
"08","Республика Калмыкия","Калмыкия"
"09","Карачаево-Черкесская республика","Карачаево-Черкесская"
"10","Республика Карелия","Карелия"
"11","Республика Коми","Коми"
"12","Республика Марий Эл","Марий Эл"
"13","Республика Мордовия","Мордовия"
"14","Республика Саха (Якутия)","Саха /Якутия/"
"15","Республика Северная Осетия - Алания","Северная Осетия - Алания"
"16","Республика Татарстан","Татарстан"
"17","Республика Тыва","Тыва"
"18","Удмуртская республика","Удмуртская"
"19","Республика Хакасия","Хакасия"
"20","Чеченская республика","Чеченская"
"21","Чувашская республика - Чувашия","Чувашская Республика"
"22","Алтайский край","Алтайский"
"23","Краснодарский край","Краснодарский"
"24","Красноярский край","Красноярский"
"25","Приморский край","Приморский"
"26","Ставропольский край","Ставропольский"
"27","Хабаровский край","Хабаровский"
"28","Амурская область","Амурская"
"29","Архангельская область","Архангельская"
"30","Астраханская область","Астраханская"
"31","Белгородская область","Белгородская"
"32","Брянская область","Брянская"
"33","Владимирская область","Владимирская"
"34","Волгоградская область","Волгоградская"
"35","Вологодская область","Вологодская"
"36","Воронежская область","Воронежская"
"37","Ивановская область","Ивановская"
"38","Иркутская область","Иркутская"
"39","Калининградская область","Калининградская"
"40","Калужская область","Калужская"
"41","Камчатский край","Камчатский"
"42","Кемеровская область - Кузбасс","Кемеровская область - Кузбасс"
"43","Кировская область","Кировская"
"44","Костромская область","Костромская"
"45","Курганская область","Курганская"
"46","Курская область","Курская"
"47","Ленинградская область","Ленинградская"
"48","Липецкая область","Липецкая"
"49","Магаданская область","Магаданская"
"50","Московская область","Московская"
"51","Мурманская область","Мурманская"
"52","Нижегородская область","Нижегородская"
"53","Новгородская область","Новгородская"
"54","Новосибирская область","Новосибирская"
"55","Омская область","Омская"
"56","Оренбургская область","Оренбургская"
"57","Орловская область","Орловская"
"58","Пензенская область","Пензенская"
"59","Пермский край","Пермский"
"60","Псковская область","Псковская"
"61","Ростовская область","Ростовская"
"62","Рязанская область","Рязанская"
"63","Самарская область","Самарская"
"64","Саратовская область","Саратовская"
"65","Сахалинская область","Сахалинская"
"66","Свердловская область","Свердловская"
"67","Смоленская область","Смоленская"
"68","Тамбовская область","Тамбовская"
"69","Тверская область","Тверская"
"70","Томская область","Томская"
"71","Тульская область","Тульская"
"72","Тюменская область","Тюменская"
"73","Ульяновская область","Ульяновская"
"74","Челябинская область","Челябинская"
"75","Забайкальский край","Забайкальский"
"76","Ярославская область","Ярославская"
"77","Москва","Москва"
"78","Санкт-Петербург","Санкт-Петербург"
"79","Еврейская автономная область","Еврейская"
"83","Ненецкий автономный округ","Ненецкий"
"86","Ханты-Мансийский автономный округ - Югра","Ханты-Мансийский Автономный округ - Югра"
"87","Чукотский автономный округ","Чукотский"
"89","Ямало-Ненецкий автономный округ","Ямало-Ненецкий"
"91","Республика Крым","Крым"
"92","Севастополь","Севастополь"
"99","Иные территории, включая город и космодром Байконур","Байконур"
